"term","estimate","conf.low","conf.high","p.value"
"(Intercept)",0.364209310938792,0.329910637797402,0.402073795074075,4.2472585516666e-89
"Robson2",1.88842335686072,1.70381934771776,2.09302868846624,9.09441355275535e-34
"Robson3",0.579080478425875,0.492985359871289,0.680211275607639,2.88826105285475e-11
"Robson4",1.28076038080653,1.11459930441631,1.47169224540536,0.000482591660541489
"Robson5",2.36855593455554,2.14215303091318,2.61888722895149,1.7324337419409e-63
"Robson6",2.56385873812956,2.26923195393757,2.89673852762261,1.2721419125223e-51
"Robson7",2.44254748704263,2.20432343795363,2.70651671335348,3.20661572819831e-65
"Robson9",2.47509077831927,2.16417222676149,2.83067783846773,5.76702152046383e-40
"Robson10",1.57530047901227,1.41899821737009,1.74881939159553,1.54542954998736e-17
"faixaprecoce",0.723174812619909,0.629644968793679,0.830597933006292,4.5037492588764e-06
"faixatardia",0.759262819460484,0.681605435593155,0.845767945664065,5.65084158049153e-07
"dheg",1.25881945251557,1.20347335360564,1.31671084306438,1.08812193307418e-23
"dmg",1.08265206651247,1.02576581448829,1.1426930792273,0.00392978007813447
