variavel,categoria,precoces (11-15),tardias (16-19),adultas (20-34),p_valor
Apgar 1º min < 7,Sim,49 (9.1%),68 (8.2%),711 (13.5%),0.0
Apgar 5º min < 7,Sim,19 (3.5%),21 (2.5%),259 (4.9%),0.0049
Malformação fetal,Sim,11 (2.0%),14 (1.7%),366 (6.9%),0.0
Prematuridade < 32 semanas,Sim,7 (1.3%),22 (2.7%),312 (6.0%),0.0
Prematuridade < 37 semanas,Sim,57 (10.6%),121 (14.6%),1270 (24.3%),0.0
RNBP < 1500 g,Sim,8 (1.5%),23 (2.8%),330 (6.3%),0.0
RNBP < 2500 g,Sim,59 (11.0%),106 (12.9%),1145 (21.7%),0.0
Óbito fetal,Sim,7 (1.3%),10 (1.2%),124 (2.3%),0.041
