"term","estimate","std.error","statistic","df","p.value","2.5 %","97.5 %","conf.low","conf.high"
"(Intercept)",0.613120025787299,0.0945735489467324,-5.17263618663706,188.91103721112,5.8599003873821e-07,0.508774470076623,0.738866016537354,0.508774470076623,0.738866016537354
"faixaprecoce",0.281855205760332,0.110380044686628,-11.4727421813688,5936.16199248062,3.7523038885732e-30,0.227013265035686,0.34994588092335,0.227013265035686,0.34994588092335
"faixatardia",0.309297864815997,0.0930403509769398,-12.6122751072184,6370.88801178802,4.85814772940858e-36,0.257730480141982,0.371182985912388,0.257730480141982,0.371182985912388
"escolaridade<9 anos",0.974401224280279,0.0600280646983614,-0.432000027192669,3629.0024406413,0.665767058762763,0.866213189434816,1.09610169581741,0.866213189434816,1.09610169581741
"escolaridade>=13 anos",1.10886916306225,0.152047439983392,0.679661058539336,90.4495260113102,0.498454859087497,0.819789562701496,1.49988591796464,0.819789562701496,1.49988591796464
"estado_civilsem companheiro",0.887620668944352,0.0631708122185059,-1.88711839662442,4502.59773328495,0.059208673285301,0.784227117325643,1.00464576464022,0.784227117325643,1.00464576464022
"nulipara",2.7500950043463,0.0685667381079679,14.7540263111803,5782.87557811108,2.17828001154086e-48,2.40420427834306,3.14574872071304,2.40420427834306,3.14574872071304
"cesarea_previa",12.6078893841616,0.0929022732825712,27.2794482854505,6425.90278736087,3.86509395068055e-155,10.5086985392707,15.1264092436594,10.5086985392707,15.1264092436594
"fumo",1.53178088414219,0.187584684459563,2.27327212933675,495.56685809062,0.0234369128247566,1.05957902660834,2.21441970641301,1.05957902660834,2.21441970641301
"hac_pre",1.24596102971172,0.130169778521936,1.68938709167628,6621.64266892625,0.0911923502925936,0.965347076777562,1.60814584195194,0.965347076777562,1.60814584195194
"diabetes_pre",2.00289002314392,0.196009318197345,3.54366392116127,6635.74655295517,0.000397322762261261,1.3639022043365,2.94124346456421,1.3639022043365,2.94124346456421
"ig_inicio",0.999122516042811,0.00406456306472647,-0.215981190996297,121.034268000626,0.829365980694944,0.99111498628103,1.00719474115657,0.99111498628103,1.00719474115657
