"term","estimate","conf.low","conf.high","p.value"
"(Intercept)",0.385249098535117,0.355921848663918,0.416992855255323,4.09580787289677e-75
"faixaprecoce",0.503918787666008,0.440350906280269,0.576663158724506,2.26413773335072e-23
"faixatardia",0.531925057062238,0.475059724041689,0.595597252327448,7.1831319208036e-28
"escolaridade<9 anos",0.9879845492181,0.94851965247764,1.02909145524183,0.561062694081769
"escolaridade>=13 anos",1.03160300729578,0.94676894860325,1.12403851671698,0.473891642990415
"estado_civilsem companheiro",0.959481662234841,0.918390834904531,1.00241098362075,0.0640042205419176
"nulipara",1.62575666126088,1.52146752503606,1.73719430624815,9.89237530842633e-47
"cesarea_previa",2.29105809573435,2.15779005884884,2.43255694709713,7.97980568044322e-161
"fumo",1.29714549874463,1.0407510051111,1.6167041267799,0.0206215224884461
"hac_pre",1.06069555077088,0.997486204013648,1.12791038803154,0.0601524961077683
"diabetes_pre",1.19180047887375,1.10375972455792,1.28686375289931,7.42013466858679e-06
"ig_inicio",0.999526672159169,0.996799835350878,1.0022609684781,0.732150163767776
