"variavel","precoces (11-15)","tardias (16-19)","adultas (20-34)","p_valor"
"Prematuridade (< 37 semanas)","57 (10.6%)","121 (14.6%)","1066 (24.6%)",0
"Baixo peso ao nascer (< 2500 g)","59 (11.0%)","106 (12.9%)","1145 (21.7%)",0
"Apgar 1º min < 7","49 (10.3%)","68 (9.4%)","712 (13.5%)",0.0019
"Apgar 5º min < 7","19 (3.9%)","21 (2.9%)","259 (4.9%)",0.0394
"Nuliparidade","478 (95.4%)","634 (84.8%)","2048 (38.9%)",0
"Primigestação","477 (92.8%)","631 (81.8%)","1670 (31.6%)",0
