"term","estimate","std.error","statistic","df","p.value","2.5 %","97.5 %","conf.low","conf.high"
"(Intercept)",0.59546314498161,0.0838941393139782,-6.17940401487936,6635.00090361446,6.81568863352008e-10,0.505162422011328,0.701905647731333,0.505162422011328,0.701905647731333
"Robson2",3.62825165905518,0.100627241097802,12.8071770781841,6635.00090361446,4.10182322087607e-37,2.97870649022983,4.41943848600569,2.97870649022983,4.41943848600569
"Robson3",0.441291720577542,0.112755828422219,-7.25504956832133,6635.00090361446,4.47199172086015e-13,0.353777601047768,0.550454246039149,0.353777601047768,0.550454246039149
"Robson4",1.37822987396882,0.12846826115387,2.4971146406228,6635.00090361446,0.0125448946222912,1.07139428479852,1.77293981538955,1.07139428479852,1.77293981538955
"Robson5",12.6121902800756,0.125419931741037,20.2094180215869,6635.00090361446,3.49458076553101e-88,9.86309909517623,16.1275215959888,9.86309909517623,16.1275215959888
"Robson6",31.3619579988903,0.730340301307468,4.717794736993,6635.00090361446,2.43297188019015e-06,7.49243444510673,131.275410780074,7.49243444510673,131.275410780074
"Robson7",16.0284018441858,0.210083409118072,13.2060036320481,6635.00090361446,2.53116249403708e-39,10.6177934563432,24.1961445883295,10.6177934563432,24.1961445883295
"Robson9",17.525455100672,0.53080582465983,5.39491894813565,6635.00090361446,7.09243024277174e-08,6.19104742195313,49.6105998795234,6.19104742195313,49.6105998795234
"Robson10",2.17003774425442,0.0941782825745021,8.22636110882411,6635.00090361446,2.30223981563079e-16,1.80421364054621,2.61003669724124,1.80421364054621,2.61003669724124
"faixaprecoce",0.548890192313664,0.116274279306925,-5.15898163423803,6635.00090361446,2.55498428361671e-07,0.437013211845411,0.689408088936006,0.437013211845411,0.689408088936006
"faixatardia",0.593155911524447,0.0967883665122459,-5.39628896966326,6635.00090361446,7.03874911106968e-08,0.490645053009288,0.717084444688647,0.490645053009288,0.717084444688647
"dheg",2.43378968955095,0.105029273781764,8.46858740927175,6635.00090361446,3.02698934509138e-17,1.98091415544598,2.99020138590051,1.98091415544598,2.99020138590051
"dmg",1.33415299529916,0.108902641633222,2.6472877583439,6635.00090361446,0.00813320524103955,1.07768199187514,1.6516599778833,1.07768199187514,1.6516599778833
