"variavel","categoria","p_valor","precoces (11-15)","tardias (16-19)","adultas (20-34)"
"Tabagismo","Não",0,"498 (92.6%)","713 (86.2%)","5281 (100%)"
"Tabagismo","Sim",NA,"40 (7.4%)","114 (13.8%)","2 (0%)"
"Uso de drogas","Não",0,"430 (92.5%)","620 (88.1%)","5266 (99.7%)"
"Uso de drogas","Sim",NA,"35 (7.5%)","84 (11.9%)","16 (0.3%)"
"Uso de álcool","Não",0,"509 (94.6%)","781 (94.4%)","5283 (100%)"
"Uso de álcool","Sim",NA,"29 (5.4%)","46 (5.6%)","0 (0%)"
